ej95s3triFs,Autumn Leaves,Yenne Lee

wnLqhVPOUes,陪着你走,盧冠廷
qt7mNGluvMU,憑著愛,盧冠廷/趙學而

AkdaXUwmrhw,沉默是金,丽江醉乡民谣
rXfM7lsvdw0,明月夜/沉默是金,丽江醉乡民谣
3GjNSbmhePg,爱江山更爱美人,丽江醉乡民谣
aqlEiJPA0OA,人生何处不相逢,丽江醉乡民谣

xSKi7JDQKb4,朋友别哭,罗小罗
3u6LLQzMcDE,城里的月光,爱唱歌的罗小罗
C0SM691gFfc,囚鸟,爱唱歌的罗小罗

Qf8j_i3lvIk,女人花,Ayen何璟昕
bfdQT39Lfk4,你的眼神,Ayen何璟昕
xHENywizd7E,追夢人,Ayen何璟昕
LK_VUymk6ZE,飄雪,Ayen何璟昕
uuMyZTIsQ0,森林,Ayen何璟昕
yfj8CBuu6CI,光陰的故事,Ayen何璟昕
Vkw2exX-w0o,阿郎戀曲,Ayen何璟昕

FRkZZnhlGfU,刻在我心底的名字,郑湫泓
RZ7lmc0HE2I,女孩,郑湫泓
wfejnLqvw34,遥远的她,郑湫泓
v3xWzsxvubU,你不要担心,郑湫泓

hPbgVyBKeWs,囚鳥,彭羚

